h;f_backward;f_central;f_forward;d_backward;d_central;d_forward;f_s;d_s;
0.848;0.084335721;0.010498619;0.063338512;0.084335713;0.010498587;0.063338539;0.089697379;0.089697463; 
0.8478;0.084313905;0.010493732;0.063326502;0.084313914;0.01049368;0.063326554;0.089673738;0.089673809; 
0.8476;0.08429206;0.010488725;0.06331464;0.084292117;0.010488774;0.063314569;0.089650254;0.089650156; 
0.8474;0.084270305;0.010483867;0.06330263;0.08427032;0.010483869;0.063302582;0.089626613;0.089626504; 
0.8472;0.084248519;0.01047895;0.06329065;0.084248524;0.010478965;0.063290593;0.089602943;0.089602852; 
0.847;0.084226734;0.010474062;0.063278609;0.084226728;0.010474063;0.063278603;0.089579265;0.089579201; 
0.8468;0.084204948;0.010469204;0.063266599;0.084204934;0.010469161;0.063266611;0.089555512;0.089555551; 
0.8466;0.084183133;0.010464287;0.063254589;0.08418314;0.010464261;0.063254618;0.089531805;0.089531901; 
0.8464;0.084161317;0.01045937;0.063242578;0.084161347;0.010459362;0.063242624;0.089508194;0.089508252; 
0.8462;0.084139562;0.010454422;0.063230717;0.084139555;0.010454463;0.063230628;0.089484732;0.089484604; 
0.846;0.084117776;0.010449535;0.063218647;0.084117763;0.010449566;0.06321863;0.089461009;0.089460957; 
0.8458;0.084095991;0.010444647;0.063206667;0.084095972;0.010444671;0.063206631;0.089437361;0.08943731; 
0.8456;0.084074205;0.010439789;0.063194656;0.084074182;0.010439776;0.063194631;0.089413787;0.089413664; 
0.8454;0.08405239;0.010434872;0.063182646;0.084052393;0.010434882;0.063182629;0.089390117;0.089390018; 
0.8452;0.084030604;0.010430014;0.063170606;0.084030604;0.01042999;0.063170625;0.089366283;0.089366373; 
0.845;0.084008789;0.010425127;0.063158566;0.084008816;0.010425098;0.06315862;0.089342679;0.089342729; 
0.8448;0.083987004;0.01042015;0.063146675;0.083987029;0.010420208;0.063146614;0.08931915;0.089319086; 
0.8446;0.083965248;0.010415292;0.063134664;0.083965243;0.010415318;0.063134606;0.089295547;0.089295443; 
0.8444;0.083943462;0.010410434;0.063122654;0.083943457;0.01041043;0.063122597;0.089271906;0.089271801; 
0.8442;0.083921677;0.010405517;0.063110614;0.083921673;0.010405543;0.063110586;0.089248273;0.08924816; 
0.844;0.083899862;0.010400629;0.063098574;0.083899889;0.010400658;0.063098573;0.089224617;0.089224519; 
0.8438;0.083878106;0.010395801;0.063086533;0.083878105;0.010395773;0.06308656;0.089200805;0.08920088; 
0.8436;0.083856291;0.010390884;0.063074493;0.083856323;0.010390889;0.063074544;0.089177127;0.08917724; 
0.8434;0.083834535;0.010385966;0.063062602;0.083834541;0.010386007;0.063062528;0.089153718;0.089153602; 
0.8432;0.083812749;0.010381109;0.063050532;0.08381276;0.010381125;0.063050509;0.08913004;0.089129964; 
0.843;0.083790964;0.010376221;0.063038522;0.083790979;0.010376245;0.06303849;0.089106421;0.089106327; 
0.8428;0.083769178;0.010371333;0.063026482;0.0837692;0.010371366;0.063026468;0.08908281;0.08908269; 
0.8426;0.083747423;0.010366476;0.063014471;0.083747421;0.010366488;0.063014446;0.089059177;0.089059055; 
0.8424;0.083725637;0.010361618;0.063002402;0.083725643;0.010361611;0.063002421;0.089035372;0.08903542; 
0.8422;0.083703852;0.01035676;0.062990361;0.083703866;0.010356735;0.062990396;0.089011717;0.089011785; 
0.842;0.083682096;0.010351843;0.06297844;0.083682089;0.01035186;0.062978369;0.088988233;0.088988152; 
0.8418;0.083660311;0.010347045;0.062966281;0.083660313;0.010346987;0.06296634;0.08896448;0.088964519; 
0.8416;0.083638555;0.010342127;0.06295436;0.083638538;0.010342114;0.06295431;0.088940981;0.088940886; 
0.8414;0.083616769;0.01033724;0.06294229;0.083616764;0.010337243;0.062942278;0.088917385;0.088917255; 
0.8412;0.083595014;0.010332382;0.06293025;0.08359499;0.010332373;0.062930245;0.088893685;0.088893624; 
0.841;0.083573198;0.010327524;0.06291818;0.083573217;0.010327503;0.062918211;0.08886991;0.088869994; 
0.8408;0.083551443;0.010322636;0.06290614;0.083551445;0.010322635;0.062906174;0.088846277;0.088846364; 
0.8406;0.083529687;0.010317719;0.062894219;0.083529674;0.010317769;0.062894137;0.0888228;0.088822736; 
0.8404;0.083507902;0.010312891;0.06288206;0.083507904;0.010312903;0.062882098;0.088799062;0.088799108; 
0.8402;0.083486116;0.010308004;0.062870109;0.083486134;0.010308038;0.062870057;0.088775586;0.08877548; 
0.84;0.08346436;0.010303146;0.062858039;0.083464365;0.010303175;0.062858016;0.088751915;0.088751854; 
0.8398;0.083442575;0.010298288;0.062845999;0.083442596;0.010298312;0.062845972;0.088728327;0.088728228; 
0.8396;0.083420819;0.01029349;0.062833929;0.083420829;0.010293451;0.062833927;0.088704567;0.088704602; 
0.8394;0.083399063;0.010288572;0.062821889;0.083399062;0.010288591;0.062821881;0.088680948;0.088680978; 
0.8392;0.083377308;0.010283715;0.062809908;0.083377296;0.010283732;0.062809833;0.088657419;0.088657354; 
0.839;0.083355522;0.010278857;0.062797749;0.083355531;0.010278874;0.062797783;0.088633697;0.088633731; 
0.8388;0.083333737;0.010273999;0.062785798;0.083333766;0.010274017;0.062785733;0.088610235;0.088610108; 
0.8386;0.083311981;0.010269141;0.062773728;0.083312002;0.010269161;0.06277368;0.088586579;0.088586487; 
0.8384;0.083290255;0.010264343;0.062761629;0.083290239;0.010264306;0.062761626;0.088562939;0.088562866; 
0.8382;0.083268499;0.010259456;0.062749588;0.083268477;0.010259453;0.062749571;0.08853935;0.088539245; 
0.838;0.083246684;0.010254598;0.062737518;0.083246716;0.010254601;0.062737514;0.08851559;0.088515626; 
0.8378;0.083224928;0.01024971;0.062725538;0.083224955;0.010249749;0.062725456;0.088492076;0.088492007; 
0.8376;0.083203203;0.010244942;0.062713319;0.083203195;0.010244899;0.062713396;0.088468294;0.088468389; 
0.8374;0.083181417;0.010240054;0.062701368;0.083181436;0.01024005;0.062701335;0.088444854;0.088444771; 
